pdb,reactivity,0,pdbid,biological_unit,unit
6VVO,High,reduced_6vvo.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: OCTAMERIC,6VVO,OCTAMERIC,MULTIMERIC
6K72,High,reduced_6k72.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRADECAMERIC,6K72,TETRADECAMERIC,MULTIMERIC
6K71,High,reduced_6k71.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIDECAMERIC,6K71,TRIDECAMERIC,MULTIMERIC
5OA3,High,,,,NA
4DJS,High,reduced_4djs.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4DJS,DIMERIC,DIMERIC
4FZV,High,reduced_4fzv.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4FZV,DIMERIC,DIMERIC
5CYP,High,reduced_5cyp.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5CYP,MONOMERIC,MONOMERIC
5CYP,High,reduced_5cyp.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5CYP,MONOMERIC,MONOMERIC
5IJH,High,reduced_5ijh.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5IJH,MONOMERIC,MONOMERIC
2WFD,High,reduced_2wfd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2WFD,DIMERIC,DIMERIC
6LPF,High,reduced_6lpf.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6LPF,MONOMERIC,MONOMERIC
2UXW,High,reduced_2uxw.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2UXW,DIMERIC,DIMERIC
3B96,High,reduced_3b96.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3B96,DIMERIC,DIMERIC
6LPF,High,reduced_6lpf.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6LPF,MONOMERIC,MONOMERIC
2YDY,High,reduced_2ydy.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2YDY,MONOMERIC,MONOMERIC
4NDN,High,reduced_4ndn.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,4NDN,HEXAMERIC,MULTIMERIC
4KTT,High,reduced_4ktt.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,4KTT,HEXAMERIC,MULTIMERIC
5X5O,High,reduced_5x5o.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5X5O,MONOMERIC,MONOMERIC
5HES,High,reduced_5hes.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5HES,MONOMERIC,MONOMERIC
5HES,High,reduced_5hes.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5HES,MONOMERIC,MONOMERIC
4UI9,High,reduced_4ui9.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: 23-MERIC,4UI9,23-MERIC,MULTIMERIC
3FVY,High,reduced_3fvy.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3FVY,MONOMERIC,MONOMERIC
2DIV,High,reduced_2div.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2DIV,MONOMERIC,MONOMERIC
2QT1,High,,,,NA
2QG6,High,reduced_2qg6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2QG6,MONOMERIC,MONOMERIC
3L4G,High,reduced_3l4g.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,3L4G,TETRAMERIC,MULTIMERIC
3L4G,High,reduced_3l4g.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,3L4G,TETRAMERIC,MULTIMERIC
3L4G,High,reduced_3l4g.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,3L4G,TETRAMERIC,MULTIMERIC
3L4G,High,reduced_3l4g.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,3L4G,TETRAMERIC,MULTIMERIC
3VOW,High,reduced_3vow.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3VOW,MONOMERIC,MONOMERIC
3VOW,High,reduced_3vow.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3VOW,MONOMERIC,MONOMERIC
4JOB,High,reduced_4job.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4JOB,MONOMERIC,MONOMERIC
2WM3,High,reduced_2wm3.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2WM3,MONOMERIC,MONOMERIC
2EXX,High,reduced_2exx.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2EXX,DIMERIC,DIMERIC
3G5P,High,reduced_3g5p.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3G5P,DIMERIC,DIMERIC
5IJH,High,reduced_5ijh.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5IJH,MONOMERIC,MONOMERIC
3EAB,High,reduced_3eab.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3EAB,DIMERIC,DIMERIC
3EAB,High,reduced_3eab.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3EAB,DIMERIC,DIMERIC
3EAB,High,reduced_3eab.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3EAB,DIMERIC,DIMERIC
5CYO,High,reduced_5cyo.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5CYO,MONOMERIC,MONOMERIC
5CYO,High,reduced_5cyo.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5CYO,MONOMERIC,MONOMERIC
4YQF,High,reduced_4yqf.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4YQF,MONOMERIC,MONOMERIC
4YQF,High,reduced_4yqf.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4YQF,MONOMERIC,MONOMERIC
4Z54,High,reduced_4z54.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4Z54,DIMERIC,DIMERIC
3E37,High,reduced_3e37.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3E37,MONOMERIC,MONOMERIC
3E37,High,reduced_3e37.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3E37,MONOMERIC,MONOMERIC
4Z51,High,reduced_4z51.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4Z51,MONOMERIC,MONOMERIC
6NRA,High,reduced_6nra.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXADECAMERIC,6NRA,HEXADECAMERIC,MULTIMERIC
3SOP,High,reduced_3sop.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3SOP,DIMERIC,DIMERIC
6QB8,High,reduced_6qb8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXADECAMERIC,6QB8,HEXADECAMERIC,MULTIMERIC
3SOG,High,reduced_3sog.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3SOG,DIMERIC,DIMERIC
4ATM,High,reduced_4atm.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4ATM,DIMERIC,DIMERIC
5CYP,High,reduced_5cyp.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5CYP,MONOMERIC,MONOMERIC
2J6L,High,reduced_2j6l.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,2J6L,TETRAMERIC,MULTIMERIC
4ZUL,High,reduced_4zul.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,4ZUL,TETRAMERIC,MULTIMERIC
4ZUL,High,reduced_4zul.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,4ZUL,TETRAMERIC,MULTIMERIC
1EF7,High,reduced_1ef7.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1EF7,MONOMERIC,MONOMERIC
1EF7,High,reduced_1ef7.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1EF7,MONOMERIC,MONOMERIC
1DEU,High,reduced_1deu.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1DEU,MONOMERIC,MONOMERIC
1DEU,High,reduced_1deu.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1DEU,MONOMERIC,MONOMERIC
2Q50,High,reduced_2q50.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2Q50,DIMERIC,DIMERIC
2Q50,High,reduced_2q50.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2Q50,DIMERIC,DIMERIC
2GCG,High,reduced_2gcg.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2GCG,DIMERIC,DIMERIC
2GCG,High,reduced_2gcg.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2GCG,DIMERIC,DIMERIC
3EAB,High,reduced_3eab.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3EAB,DIMERIC,DIMERIC
3EAB,High,reduced_3eab.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3EAB,DIMERIC,DIMERIC
3EAB,High,reduced_3eab.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3EAB,DIMERIC,DIMERIC
2J6L,High,reduced_2j6l.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,2J6L,TETRAMERIC,MULTIMERIC
4FP9,High,reduced_4fp9.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: OCTAMERIC,4FP9,OCTAMERIC,MULTIMERIC
4LIJ,High,reduced_4lij.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,4LIJ,TRIMERIC,MULTIMERIC
2EDI,High,reduced_2edi.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2EDI,MONOMERIC,MONOMERIC
1IBR,High,reduced_1ibr.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1IBR,DIMERIC,DIMERIC
1IBR,High,reduced_1ibr.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1IBR,DIMERIC,DIMERIC
1M5N,High,reduced_1m5n.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1M5N,DIMERIC,DIMERIC
1QGR,High,reduced_1qgr.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1QGR,DIMERIC,DIMERIC
2P8Q,High,reduced_2p8q.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2P8Q,DIMERIC,DIMERIC
2QNA,High,reduced_2qna.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2QNA,DIMERIC,DIMERIC
5WAK,High,reduced_5wak.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5WAK,DIMERIC,DIMERIC
6C23,High,reduced_6c23.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DODECAMERIC,6C23,DODECAMERIC,MULTIMERIC
6C24,High,reduced_6c24.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DODECAMERIC,6C24,DODECAMERIC,MULTIMERIC
1WYR,High,reduced_1wyr.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1WYR,MONOMERIC,MONOMERIC
1X5D,High,reduced_1x5d.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1X5D,MONOMERIC,MONOMERIC
3VWW,High,reduced_3vww.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3VWW,MONOMERIC,MONOMERIC
3VWW,High,reduced_3vww.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3VWW,MONOMERIC,MONOMERIC
4EF0,High,reduced_4ef0.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4EF0,MONOMERIC,MONOMERIC
4EF0,High,reduced_4ef0.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4EF0,MONOMERIC,MONOMERIC
4GWR,High,reduced_4gwr.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4GWR,MONOMERIC,MONOMERIC
4GWR,High,reduced_4gwr.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4GWR,MONOMERIC,MONOMERIC
3PDY,High,reduced_3pdy.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3PDY,MONOMERIC,MONOMERIC
3PDY,High,reduced_3pdy.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3PDY,MONOMERIC,MONOMERIC
4A0C,High,reduced_4a0c.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,4A0C,TRIMERIC,MULTIMERIC
5ZYA,High,reduced_5zya.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,5ZYA,TETRAMERIC,MULTIMERIC
2WNT,High,reduced_2wnt.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2WNT,DIMERIC,DIMERIC
4NIF,High,reduced_4nif.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,4NIF,TETRAMERIC,MULTIMERIC
6F3T,High,reduced_6f3t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,6F3T,TRIMERIC,MULTIMERIC
6F3T,High,reduced_6f3t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,6F3T,TRIMERIC,MULTIMERIC
6F3T,High,reduced_6f3t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,6F3T,TRIMERIC,MULTIMERIC
6F3T,High,reduced_6f3t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,6F3T,TRIMERIC,MULTIMERIC
1F59,High,reduced_1f59.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1F59,DIMERIC,DIMERIC
1F59,High,reduced_1f59.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1F59,DIMERIC,DIMERIC
1IG6,High,reduced_1ig6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1IG6,MONOMERIC,MONOMERIC
1HZJ,High,reduced_1hzj.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1HZJ,DIMERIC,DIMERIC
3K35,High,reduced_3k35.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3K35,MONOMERIC,MONOMERIC
3K35,High,reduced_3k35.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3K35,MONOMERIC,MONOMERIC
3K35,High,reduced_3k35.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3K35,MONOMERIC,MONOMERIC
3K35,High,reduced_3k35.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3K35,MONOMERIC,MONOMERIC
4WQO,High,reduced_4wqo.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,4WQO,TETRAMERIC,MULTIMERIC
5QOQ,High,reduced_5qoq.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5QOQ,MONOMERIC,MONOMERIC
5N4W,High,reduced_5n4w.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: PENTAMERIC,5N4W,PENTAMERIC,MULTIMERIC
5MP0,High,reduced_5mp0.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5MP0,MONOMERIC,MONOMERIC
6R7H,High,reduced_6r7h.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DODECAMERIC,6R7H,DODECAMERIC,MULTIMERIC
4B8W,High,reduced_4b8w.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4B8W,DIMERIC,DIMERIC
4B8Z,High,reduced_4b8z.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4B8Z,MONOMERIC,MONOMERIC
4B8Z,High,reduced_4b8z.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4B8Z,MONOMERIC,MONOMERIC
4B8Z,High,reduced_4b8z.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4B8Z,MONOMERIC,MONOMERIC
6MZC,High,reduced_6mzc.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DECAMERIC,6MZC,DECAMERIC,MULTIMERIC
4B8Z,High,reduced_4b8z.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4B8Z,MONOMERIC,MONOMERIC
4BL5,High,reduced_4bl5.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4BL5,DIMERIC,DIMERIC
4BL5,High,reduced_4bl5.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4BL5,DIMERIC,DIMERIC
4BL5,High,reduced_4bl5.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4BL5,DIMERIC,DIMERIC
4BL5,High,reduced_4bl5.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4BL5,DIMERIC,DIMERIC
4BL5,High,reduced_4bl5.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4BL5,DIMERIC,DIMERIC
4E5Y,High,reduced_4e5y.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4E5Y,DIMERIC,DIMERIC
4E5Y,High,reduced_4e5y.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4E5Y,DIMERIC,DIMERIC
1CB5,High,reduced_1cb5.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,1CB5,HEXAMERIC,MULTIMERIC
6O1E,High,reduced_6o1e.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6O1E,DIMERIC,DIMERIC
1WHA,High,reduced_1wha.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1WHA,MONOMERIC,MONOMERIC
5NUG,High,reduced_5nug.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5NUG,MONOMERIC,MONOMERIC
5NUG,High,reduced_5nug.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5NUG,MONOMERIC,MONOMERIC
1EK6,High,reduced_1ek6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1EK6,DIMERIC,DIMERIC
4BL5,High,reduced_4bl5.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4BL5,DIMERIC,DIMERIC
3K35,High,reduced_3k35.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3K35,MONOMERIC,MONOMERIC
1X61,High,reduced_1x61.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1X61,MONOMERIC,MONOMERIC
1U6G,High,reduced_1u6g.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,1U6G,TRIMERIC,MULTIMERIC
4QMG,High,reduced_4qmg.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4QMG,DIMERIC,DIMERIC
4QMG,High,reduced_4qmg.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4QMG,DIMERIC,DIMERIC
4QMG,High,reduced_4qmg.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4QMG,DIMERIC,DIMERIC
6I18,High,reduced_6i18.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6I18,MONOMERIC,MONOMERIC
4QMG,High,reduced_4qmg.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4QMG,DIMERIC,DIMERIC
2OQ0,High,reduced_2oq0.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2OQ0,MONOMERIC,MONOMERIC
2OQ0,High,reduced_2oq0.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2OQ0,MONOMERIC,MONOMERIC
2OQ0,High,reduced_2oq0.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2OQ0,MONOMERIC,MONOMERIC
2OQ0,High,reduced_2oq0.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2OQ0,MONOMERIC,MONOMERIC
2XNF,High,,,,NA
2L6U,High,reduced_2l6u.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2L6U,MONOMERIC,MONOMERIC
1W6U,High,reduced_1w6u.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,1W6U,TETRAMERIC,MULTIMERIC
4D4M,High,reduced_4d4m.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4D4M,DIMERIC,DIMERIC
6HVI,High,reduced_6hvi.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6HVI,MONOMERIC,MONOMERIC
6IBX,High,reduced_6ibx.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6IBX,MONOMERIC,MONOMERIC
6IBY,High,reduced_6iby.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6IBY,MONOMERIC,MONOMERIC
6IBZ,High,reduced_6ibz.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6IBZ,MONOMERIC,MONOMERIC
6IC0,High,reduced_6ic0.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6IC0,MONOMERIC,MONOMERIC
2L23,High,reduced_2l23.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2L23,MONOMERIC,MONOMERIC
2KY6,High,reduced_2ky6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2KY6,MONOMERIC,MONOMERIC
6IGM,High,reduced_6igm.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: NONAMERIC,6IGM,NONAMERIC,MULTIMERIC
3KVO,High,reduced_3kvo.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3KVO,MONOMERIC,MONOMERIC
3KVO,High,reduced_3kvo.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3KVO,MONOMERIC,MONOMERIC
2DHX,High,reduced_2dhx.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2DHX,MONOMERIC,MONOMERIC
3TW8,High,reduced_3tw8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3TW8,DIMERIC,DIMERIC
3TW8,High,reduced_3tw8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3TW8,DIMERIC,DIMERIC
3BPT,High,reduced_3bpt.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3BPT,MONOMERIC,MONOMERIC
4QMG,High,reduced_4qmg.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4QMG,DIMERIC,DIMERIC
6B0T,High,reduced_6b0t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6B0T,MONOMERIC,MONOMERIC
6B0T,High,reduced_6b0t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6B0T,MONOMERIC,MONOMERIC
6B0T,High,reduced_6b0t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6B0T,MONOMERIC,MONOMERIC
6OXB,High,reduced_6oxb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6OXB,MONOMERIC,MONOMERIC
6OXB,High,reduced_6oxb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6OXB,MONOMERIC,MONOMERIC
6OXB,High,reduced_6oxb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6OXB,MONOMERIC,MONOMERIC
6OXB,High,reduced_6oxb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6OXB,MONOMERIC,MONOMERIC
4CCA,High,reduced_4cca.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4CCA,MONOMERIC,MONOMERIC
6OXB,High,reduced_6oxb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6OXB,MONOMERIC,MONOMERIC
6OXB,High,reduced_6oxb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6OXB,MONOMERIC,MONOMERIC
6EOR,High,reduced_6eor.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6EOR,DIMERIC,DIMERIC
6EOR,High,reduced_6eor.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6EOR,DIMERIC,DIMERIC
